start_ts,end_ts,flow,avg_flow,std,pred
2016-01-02 03:31:02,2016-01-02 04:00:35,96,1.6,1.35646599663,2.354354336935276
2016-01-02 04:01:02,2016-01-02 04:31:34,114,1.9,1.3625955624,1.914967294588838
2016-01-02 04:32:02,2016-01-02 05:01:32,107,1.7833333333333334,1.52852506976,0.7719061862413146
2016-01-02 05:02:02,2016-01-02 05:31:33,192,3.2,2.03960780544,4.627182079156402
2016-01-02 05:32:03,2016-01-02 06:01:34,352,5.866666666666666,3.20138858761,8.040182876326211
2016-01-02 06:02:03,2016-01-02 06:31:34,666,11.1,5.62346275291,12.335186766562922
2016-01-02 06:32:03,2016-01-02 07:01:32,913,15.216666666666667,6.23188485844,11.955531940316359
2016-01-02 07:02:02,2016-01-02 07:31:32,1047,17.45,7.43734943825,13.88891585126273
2016-01-02 07:32:02,2016-01-02 08:01:33,1227,20.45,6.90271685643,22.267042533728386
2016-01-02 08:02:03,2016-01-02 08:31:33,1224,20.4,6.76313536756,16.271111529140697
2016-01-02 08:32:04,2016-01-02 09:01:32,1403,23.383333333333333,6.25324360277,27.351493528577983
2016-01-02 09:02:02,2016-01-02 09:31:32,1513,25.216666666666665,7.73539843117,23.04891245911699
2016-01-02 09:32:02,2016-01-02 10:01:33,1690,28.166666666666668,8.70472413246,32.586005328600066
2016-01-02 10:02:03,2016-01-02 10:31:33,1760,29.333333333333332,9.78888258292,35.96444274974794
2016-01-02 10:32:03,2016-01-02 11:01:33,2117,35.28333333333333,8.77323898126,32.896186405706906
2016-01-02 11:02:02,2016-01-02 11:31:32,2056,34.266666666666666,9.12298684033,37.18353278640773
2016-01-02 11:32:02,2016-01-02 12:01:32,1923,32.05,8.01337423728,35.45216620073782
2016-01-02 12:02:02,2016-01-02 12:31:33,1976,32.93333333333333,7.59795294069,32.264403674926214
2016-01-02 12:32:02,2016-01-02 13:01:32,2085,34.75,6.72464373282,31.424565428010908
2016-01-02 13:02:02,2016-01-02 13:31:32,2212,36.86666666666667,7.44192328785,32.90709571318998
2016-01-02 13:32:02,2016-01-02 14:01:38,2175,36.25,9.46506735317,35.65047012041791
2016-01-02 14:02:03,2016-01-02 14:31:33,1952,32.53333333333333,8.14548272903,29.78495605143585
2016-01-02 14:32:02,2016-01-02 15:01:34,1945,32.416666666666664,9.37957295877,32.12370949973721
2016-01-02 15:02:02,2016-01-02 15:31:32,1925,32.083333333333336,9.39732526958,29.67564893115642
2016-01-02 15:32:01,2016-01-02 16:01:33,1904,31.733333333333334,8.08262883528,27.120845701327582
2016-01-02 16:02:03,2016-01-02 16:31:32,1943,32.38333333333333,8.96677509228,32.159325685078905
2016-01-02 16:32:02,2016-01-02 17:01:33,1830,30.5,8.23711114408,34.843725264507356
2016-01-02 17:02:04,2016-01-02 17:31:33,1748,29.133333333333333,7.10273812617,31.31617521841977
2016-01-02 17:32:02,2016-01-02 18:01:33,1793,29.883333333333333,8.34683905573,27.372909116033618
2016-01-02 18:02:03,2016-01-02 18:31:33,1631,27.183333333333334,7.21223882639,26.924624554820213
2016-01-02 18:32:04,2016-01-02 19:01:33,1565,26.083333333333332,7.78736512278,22.740350802300945
2016-01-02 19:02:03,2016-01-02 19:31:32,1473,24.55,7.26274741403,21.687008377609814
2016-01-02 19:32:02,2016-01-02 20:01:33,1438,23.966666666666665,8.3565676101,26.610498852291926
2016-01-02 20:02:03,2016-01-02 20:31:33,1228,20.466666666666665,7.17975548949,25.085796423959597
2016-01-02 20:32:03,2016-01-02 21:01:34,1238,20.633333333333333,5.9860021903,24.401564530813264
2016-01-02 21:02:03,2016-01-02 21:31:32,1202,20.033333333333335,6.5369887733,23.831908036802226
2016-01-02 21:32:02,2016-01-02 22:01:33,1036,17.266666666666666,6.80163379066,15.269130137462573
2016-01-02 22:02:03,2016-01-02 22:31:33,1015,16.916666666666668,6.29097678337,20.2920108651953
2016-01-02 22:32:03,2016-01-02 23:01:33,790,13.166666666666666,5.37638870949,11.179045379751688
2016-01-02 23:02:02,2016-01-02 23:31:33,695,11.583333333333334,4.24378630732,14.420207293397786
